player,team,season
Bartra,FC Barcelona,2016-2017
Dani Alves,FC Barcelona,2016-2017
Douglas,FC Barcelona,2016-2017
Jordi Alba,FC Barcelona,2016-2017
Javier Mascherano,FC Barcelona,2016-2017
Jeremy Mathieu,FC Barcelona,2016-2017
Pique,FC Barcelona,2016-2017
Thomas Vermaelen,FC Barcelona,2016-2017
Busquets,FC Barcelona,2016-2017
Carles Alena,FC Barcelona,2016-2017
Gumbau,FC Barcelona,2016-2017
Iniesta,FC Barcelona,2016-2017
Juan Camara,FC Barcelona,2016-2017
Wilfrid Kaptoum,FC Barcelona,2016-2017
Rafinha,FC Barcelona,2016-2017
Ivan Rakitic,FC Barcelona,2016-2017
Samper,FC Barcelona,2016-2017
Sergi Roberto,FC Barcelona,2016-2017
Arda Turan,FC Barcelona,2016-2017
Dani Romera,FC Barcelona,2016-2017
Lionel Messi,FC Barcelona,2016-2017
Munir,FC Barcelona,2016-2017
Neymar,FC Barcelona,2016-2017
Sandro,FC Barcelona,2016-2017
Luis Suarez,FC Barcelona,2016-2017
Luis Enrique,FC Barcelona,2016-2017
Barbara,FC Barcelona,2016-2017
Jesus Casas,FC Barcelona,2016-2017
Robert Moreno,FC Barcelona,2016-2017
Unzue,FC Barcelona,2016-2017
De la Fuente,FC Barcelona,2016-2017
Jasper Cillessen,FC Barcelona,2017-2018
Jordi Masip,FC Barcelona,2017-2018
Marc-Andre ter Stegen,FC Barcelona,2017-2018
Aleix Vidal,FC Barcelona,2017-2018
Borja Lopez,FC Barcelona,2017-2018
Lucas Digne,FC Barcelona,2017-2018
Jordi Alba,FC Barcelona,2017-2018
Marlon,FC Barcelona,2017-2018
Javier Mascherano,FC Barcelona,2017-2018
Jeremy Mathieu,FC Barcelona,2017-2018
Nili,FC Barcelona,2017-2018
Pique,FC Barcelona,2017-2018
Samuel Umtiti,FC Barcelona,2017-2018
Andre Gomes,FC Barcelona,2017-2018
Busquets,FC Barcelona,2017-2018
Carles Alena,FC Barcelona,2017-2018
Denis Suarez,FC Barcelona,2017-2018
Iniesta,FC Barcelona,2017-2018
Wilfrid Kaptoum,FC Barcelona,2017-2018
Rafinha,FC Barcelona,2017-2018
Ivan Rakitic,FC Barcelona,2017-2018
Sergi Roberto,FC Barcelona,2017-2018
Arda Turan,FC Barcelona,2017-2018
Alex Carbonell,FC Barcelona,2017-2018
Cristian Tello,FC Barcelona,2017-2018
Marc Cardona,FC Barcelona,2017-2018
Lionel Messi,FC Barcelona,2017-2018
Neymar,FC Barcelona,2017-2018
Paco Alcacer,FC Barcelona,2017-2018
Luis Suarez,FC Barcelona,2017-2018
Luis Enrique,FC Barcelona,2017-2018
Barbara,FC Barcelona,2017-2018
Jesus Casas,FC Barcelona,2017-2018
Robert Moreno,FC Barcelona,2017-2018
Unzue,FC Barcelona,2017-2018
De la Fuente,FC Barcelona,2017-2018
Adrian Ortola,FC Barcelona,2018-2019
Jasper Cillessen,FC Barcelona,2018-2019
Marc-Andre ter Stegen,FC Barcelona,2018-2019
Aleix Vidal,FC Barcelona,2018-2019
Cucurella,FC Barcelona,2018-2019
David Costas,FC Barcelona,2018-2019
Lucas Digne,FC Barcelona,2018-2019
Jordi Alba,FC Barcelona,2018-2019
Yerry Mina,FC Barcelona,2018-2019
Nelson Semedo,FC Barcelona,2018-2019
Pique,FC Barcelona,2018-2019
Samuel Umtiti,FC Barcelona,2018-2019
Thomas Vermaelen,FC Barcelona,2018-2019
Andre Gomes,FC Barcelona,2018-2019
Busquets,FC Barcelona,2018-2019
Carles Alena,FC Barcelona,2018-2019
Coutinho,FC Barcelona,2018-2019
Denis Suarez,FC Barcelona,2018-2019
Iniesta,FC Barcelona,2018-2019
Jose Arnaiz,FC Barcelona,2018-2019
Oriol Busquets,FC Barcelona,2018-2019
Paulinho,FC Barcelona,2018-2019
Ivan Rakitic,FC Barcelona,2018-2019
Samper,FC Barcelona,2018-2019
