player,team,season,type
Marcelo,Brazil,2012-2013,nation
Marcos Rocha,Brazil,2012-2013,nation
Marquinhos,Brazil,2012-2013,nation
Maxwell,Brazil,2012-2013,nation
Miranda,Brazil,2012-2013,nation
Rever,Brazil,2012-2013,nation
Rodrigo Moledo,Brazil,2012-2013,nation
Thiago Silva,Brazil,2012-2013,nation
Arouca,Brazil,2012-2013,nation
Bernard,Brazil,2012-2013,nation
Fernando,Brazil,2012-2013,nation
Hernanes,Brazil,2012-2013,nation
Jadson,Brazil,2012-2013,nation
Jean,Brazil,2012-2013,nation
Kaka,Brazil,2012-2013,nation
Lucas,Brazil,2012-2013,nation
Lucas Leiva,Brazil,2012-2013,nation
Luiz Gustavo,Brazil,2012-2013,nation
Oscar,Brazil,2012-2013,nation
Paulinho,Brazil,2012-2013,nation
Ralf,Brazil,2012-2013,nation
Ramires,Brazil,2012-2013,nation
Ronaldinho,Brazil,2012-2013,nation
Willian,Brazil,2012-2013,nation
Alexandre Pato,Brazil,2012-2013,nation
Diego Costa,Brazil,2012-2013,nation
Fred,Brazil,2012-2013,nation
Hulk,Brazil,2012-2013,nation
