player,team,season,type
Steve Mandanda,France,2010-2011,nation
Eric Abidal,France,2010-2011,nation
Gael Clichy,France,2010-2011,nation
Mathieu Debuchy,France,2010-2011,nation
Patrice Evra,France,2010-2011,nation
Younes Kaboul,France,2010-2011,nation
Laurent Koscielny,France,2010-2011,nation
Jeremy Mathieu,France,2010-2011,nation
Philippe Mexes,France,2010-2011,nation
Adil Rami,France,2010-2011,nation
Anthony Reveillere,France,2010-2011,nation
Bacary Sagna,France,2010-2011,nation
Mamadou Sakho,France,2010-2011,nation
Yohan Cabaye,France,2010-2011,nation
Abou Diaby,France,2010-2011,nation
Alou Diarra,France,2010-2011,nation
Maxime Gonalons,France,2010-2011,nation
Yoann Gourcuff,France,2010-2011,nation
Yann M'Vila,France,2010-2011,nation
Florent Malouda,France,2010-2011,nation
Marvin Martin,France,2010-2011,nation
Blaise Matuidi,France,2010-2011,nation
Charles N'Zogbia,France,2010-2011,nation
Samir Nasri,France,2010-2011,nation
Franck Ribery,France,2010-2011,nation
Mathieu Valbuena,France,2010-2011,nation
Karim Benzema,France,2010-2011,nation
Kevin Gameiro,France,2010-2011,nation
Olivier Giroud,France,2010-2011,nation
Guillaume Hoarau,France,2010-2011,nation
Jeremy Menez,France,2010-2011,nation
Loic Remy,France,2010-2011,nation
Laurent Blanc,France,2010-2011,nation
Cedric Carrasso,France,2011-2012,nation
Mickael Landreau,France,2011-2012,nation
Hugo Lloris,France,2011-2012,nation
Steve Mandanda,France,2011-2012,nation
Eric Abidal,France,2011-2012,nation
Gael Clichy,France,2011-2012,nation
Mathieu Debuchy,France,2011-2012,nation
Patrice Evra,France,2011-2012,nation
Christophe Jallet,France,2011-2012,nation
Laurent Koscielny,France,2011-2012,nation
Philippe Mexes,France,2011-2012,nation
Adil Rami,France,2011-2012,nation
Anthony Reveillere,France,2011-2012,nation
Mamadou Sakho,France,2011-2012,nation
Benoit Tremoulinas,France,2011-2012,nation
Raphael Varane,France,2011-2012,nation
Mapou Yanga-Mbiwa,France,2011-2012,nation
Morgan Amalfitano,France,2011-2012,nation
Hatem Ben Arfa,France,2011-2012,nation
Yohan Cabaye,France,2011-2012,nation
Etienne Capoue,France,2011-2012,nation
Clement Chantome,France,2011-2012,nation
Alou Diarra,France,2011-2012,nation
Maxime Gonalons,France,2011-2012,nation
Yoann Gourcuff,France,2011-2012,nation
Yann M'Vila,France,2011-2012,nation
Florent Malouda,France,2011-2012,nation
Marvin Martin,France,2011-2012,nation
Blaise Matuidi,France,2011-2012,nation
Rio Mavuba,France,2011-2012,nation
Samir Nasri,France,2011-2012,nation
Franck Ribery,France,2011-2012,nation
Moussa Sissoko,France,2011-2012,nation
Mathieu Valbuena,France,2011-2012,nation
Karim Benzema,France,2011-2012,nation
Jimmy Briand,France,2011-2012,nation
Kevin Gameiro,France,2011-2012,nation
Olivier Giroud,France,2011-2012,nation
Bafetimbi Gomis,France,2011-2012,nation
Jeremy Menez,France,2011-2012,nation
Dimitri Payet,France,2011-2012,nation
Loic Remy,France,2011-2012,nation
Louis Saha,France,2011-2012,nation
Didier Deschamps,France,2011-2012,nation
Laurent Blanc,France,2011-2012,nation
Mickael Landreau,France,2012-2013,nation
Hugo Lloris,France,2012-2013,nation
Steve Mandanda,France,2012-2013,nation
Stephane Ruffier,France,2012-2013,nation
Eric Abidal,France,2012-2013,nation
Gael Clichy,France,2012-2013,nation
Mathieu Debuchy,France,2012-2013,nation
Patrice Evra,France,2012-2013,nation
Rod Fanni,France,2012-2013,nation
