player,team,season,type
Samuel Umtiti,FC Barcelona,2022-2023,club
Moussa Wague,FC Barcelona,2022-2023,club
Arthur,FC Barcelona,2022-2023,club
Busquets,FC Barcelona,2022-2023,club
Coutinho,FC Barcelona,2022-2023,club
Frenkie de Jong,FC Barcelona,2022-2023,club
Matheus Fernandes,FC Barcelona,2022-2023,club
Martin Braithwaite,FC Barcelona,2022-2023,club
Antoine Griezmann,FC Barcelona,2022-2023,club
Rey Manaj,FC Barcelona,2022-2023,club
Trincao,FC Barcelona,2022-2023,club
Doni,Brazil,2008-2009,nation
Julio Cesar,Brazil,2008-2009,nation
Adriano,Brazil,2008-2009,nation
Andre Santos,Brazil,2008-2009,nation
Cris,Brazil,2008-2009,nation
Dani Alves,Brazil,2008-2009,nation
Juan,Brazil,2008-2009,nation
Lucio,Brazil,2008-2009,nation
Luisao,Brazil,2008-2009,nation
Maicon,Brazil,2008-2009,nation
Marcelo,Brazil,2008-2009,nation
Miranda,Brazil,2008-2009,nation
Thiago Silva,Brazil,2008-2009,nation
Carlos Eduardo,Brazil,2008-2009,nation
Elano,Brazil,2008-2009,nation
Fabio Simplicio,Brazil,2008-2009,nation
Felipe Melo,Brazil,2008-2009,nation
Gilberto Silva,Brazil,2008-2009,nation
Josue,Brazil,2008-2009,nation
Julio Baptista,Brazil,2008-2009,nation
Kaka,Brazil,2008-2009,nation
Kleberson,Brazil,2008-2009,nation
Michel Bastos,Brazil,2008-2009,nation
Ronaldinho,Brazil,2008-2009,nation
Alexandre Pato,Brazil,2008-2009,nation
Diego Tardelli,Brazil,2008-2009,nation
Hulk,Brazil,2008-2009,nation
Luis Fabiano,Brazil,2008-2009,nation
Nilmar,Brazil,2008-2009,nation
Robinho,Brazil,2008-2009,nation
Dunga,Brazil,2008-2009,nation
Jorginho,Brazil,2008-2009,nation
Doni,Brazil,2009-2010,nation
Gomes,Brazil,2009-2010,nation
Jefferson,Brazil,2009-2010,nation
Julio Cesar,Brazil,2009-2010,nation
Neto,Brazil,2009-2010,nation
Renan,Brazil,2009-2010,nation
Victor,Brazil,2009-2010,nation
Adriano,Brazil,2009-2010,nation
Alex,Brazil,2009-2010,nation
Andre Santos,Brazil,2009-2010,nation
Dani Alves,Brazil,2009-2010,nation
David Luiz,Brazil,2009-2010,nation
Juan,Brazil,2009-2010,nation
Lucio,Brazil,2009-2010,nation
Luisao,Brazil,2009-2010,nation
Maicon,Brazil,2009-2010,nation
Marcelo,Brazil,2009-2010,nation
Rafael,Brazil,2009-2010,nation
Rever,Brazil,2009-2010,nation
Thiago Silva,Brazil,2009-2010,nation
Carlos Eduardo,Brazil,2009-2010,nation
Coutinho,Brazil,2009-2010,nation
Douglas,Brazil,2009-2010,nation
Ederson,Brazil,2009-2010,nation
Elano,Brazil,2009-2010,nation
Elias,Brazil,2009-2010,nation
Felipe Melo,Brazil,2009-2010,nation
Ganso,Brazil,2009-2010,nation
Gilberto,Brazil,2009-2010,nation
Gilberto Silva,Brazil,2009-2010,nation
Giuliano,Brazil,2009-2010,nation
